issuer,cik,tickers,exchanges,listed_status,vehicle,launch_date,expiration,offer_type,offer_price,range_low,range_high,nav_pct,final_price,premium_price_used,premium_flag,pre_close,pre_close_date,post_close,post_close_date,pre_close_split_factor,doc_ref_price,doc_ref_quote,gross_premium,yf_premium,yf_doc_price_ratio,premium_basis,tendered_class,completed,proration,odd_lot_priority,odd_lot_clause,odd_lot_clause_2,odd_lot_priority_basis,launch_accession,clause_doc_accession,clause_doc_url,doc_sha256,completion_doc,completion_date,n_hit_filings,n_filings_in_offer,orphan_amendment,listed_basis,price_note,completion_source,doc_bytes,launch_primary_doc
ENCORE CAPITAL GROUP INC,0001084961,ECPG,Nasdaq,listed,operating_company,2021-11-04,,dutch_auction,,52.0,60.0,,52.0,52.0,,54.02000045776367,2021-11-03,55.2400016784668,2021-12-06,1.0,54.02,closing price of our common stock on NASDAQ was $54.02,-0.03739355794150323,-0.0373935660985979,1.0000000084739664,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 shares and I tender all of my shares, will I be subject to proration? If you own, beneficially or of record, fewer than 100 shares in the aggregate, you validly tender all of these shares at or below the Purchase Price prior to the Expiration Time (and do not validly withdraw such shares) and you complete the section entitled Odd Lots in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, and all conditions to the Offer are satisfied or waived, we will purchase all of your shares without subjecting them to proration.","If the conditions to the Offer have been satisfied or waived and shares validly tendered at or below the Purchase Price and not validly withdrawn prior to the Expiration Time would result in an Aggregate Purchase Consideration exceeding $300 million, we will purchase shares in the following order of priority: first, all shares owned in odd lots (less than 100 shares) that have been validly tendered at or below the Purchase Price (and not validly withdrawn prior to the Expiration Time), as indicated by completing the section entitled Odd Lots in the Letter of Transmittal or, in the case of a book-entry transfer, an Agent s Message (as defined below) and, if applicable, in the Notice of G",odd-lot -> no-proration/priority: 'odd lot priority' (<100-share threshold stated in the document),0001193125-21-319365,0001193125-21-319365,https://www.sec.gov/Archives/edgar/data/1084961/000119312521319365/d170725dex99a1a.htm,350ecca6f8418658663baa5cde4c96ce55410c34599b3b84cbd4618f7d124fca,https://www.sec.gov/Archives/edgar/data/1084961/000119312521352826/d405661dsctoia.htm,2021-12-09,6,3,False,submissions index: ['ECPG'] on ['Nasdaq']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-21-352826,444157,d170725dsctoi.htm
CORCEPT THERAPEUTICS INC,0001088856,CORT,Nasdaq,listed,operating_company,2021-11-08,,dutch_auction,,20.75,23.75,,23.75,23.75,,20.68000030517578,2021-11-05,17.100000381469727,2021-12-09,1.0,20.68,last reported sale price of the Shares was $20.68,0.14845261121856868,0.14845259427079704,1.0000000147570494,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 Shares and I tender all of my Shares, will I be subject to proration? If you (i) own, beneficially or of record, fewer than 100 Shares in the aggregate; (ii) properly tender all of these Shares at or below the Final Purchase Price and do not properly withdraw them before the Expiration Date; and (iii) complete the section(s) entitled Odd Lots in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, we will purchase all of your Shares without subjecting them to the proration procedure.","We may not purchase all of the Shares tendered at or below the Final Purchase Price because of proration, Odd Lot priority and conditional tender provisions described in this Offer to Purchase.",odd-lot -> no-proration/priority: 'Odd Lot priority' (<100-share threshold stated in the document),0001193125-21-322396,0001193125-21-322396,https://www.sec.gov/Archives/edgar/data/1088856/000119312521322396/d228455dex99a1a.htm,61bfe580e30c3a5deb39c3e6b02cb5e3745323fb75cfc42d2d284740b6d17ee2,https://www.sec.gov/Archives/edgar/data/1088856/000119312521362348/d276412dsctoia.htm,2021-12-20,8,5,False,submissions index: ['CORT'] on ['Nasdaq']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-21-362348,343262,d228455dsctoi.htm
CORCEPT THERAPEUTICS INC,0001088856,CORT,Nasdaq,listed,operating_company,2023-03-06,,dutch_auction,,19.25,22.0,,22.0,22.0,,19.200000762939453,2023-03-03,22.290000915527344,2023-04-06,1.0,19.2,last reported sale price of the Shares was $19.20,0.14583333333333348,0.14583328780200921,1.00000003973643,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 Shares and I tender all of my Shares, will I be subject to proration? If you (i) own, beneficially or of record, fewer than 100 Shares in the aggregate; (ii) properly tender all of these Shares at or below the Final Purchase Price and do not properly withdraw them before the Expiration Date; and (iii) complete the section(s) entitled Odd Lots in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, we will purchase all of your Shares without subjecting them to the proration procedure.","We may not purchase all of the Shares tendered at or below the Final Purchase Price because of proration, Odd Lot priority and conditional tender provisions described in this Offer to Purchase.",odd-lot -> no-proration/priority: 'Odd Lot priority' (<100-share threshold stated in the document),0001193125-23-060717,0001193125-23-060717,https://www.sec.gov/Archives/edgar/data/1088856/000119312523060717/d79724dex99a1a.htm,c4e5af7d1cbf84761f67d062bc10f2db5c1fd1df5eb7282d0cec22c0e035bd73,https://www.sec.gov/Archives/edgar/data/1088856/000119312523092208/d445552dsctoia.htm,2023-04-05,5,4,False,submissions index: ['CORT'] on ['Nasdaq']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-23-092208,347724,d79724dsctoi.htm
"BREAD FINANCIAL HOLDINGS, INC.",0001101215,"BFH,BFH-PA,BFH-PB","NYSE,NYSE,NYSE",listed,operating_company,2019-07-19,,dutch_auction,,144.0,162.0,,,153.0,range_midpoint,158.00000001525876,2019-07-18,136.54000422668454,2019-08-19,1.253,158.0,last reported sale price of the Shares was $158.00,-0.03164556962025311,-0.031645569713771415,1.0000000000965745,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 Shares and I tender all of my Shares, will I be subject to proration? If you (i) own, beneficially or of record, fewer than 100 Shares in the aggregate; (ii) properly tender all of these Shares at or below the Final Purchase Price and do not properly withdraw them before the Expiration Date; and (iii) complete the section(s) entitled Odd Lots in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, we will purchase all of your Shares without subjecting them to the proration procedure.","We may not purchase all of the Shares tendered at or below the Final Purchase Price because of proration, Odd Lot priority and conditional tender provisions described in this Offer to Purchase.",odd-lot -> no-proration/priority: 'Odd Lot priority' (<100-share threshold stated in the document),0001193125-19-197208,0001193125-19-197208,https://www.sec.gov/Archives/edgar/data/1101215/000119312519197208/d777726dex99a1a.htm,62f187abd7c8a648d84093c1862176437765fea989c2416bdca0a3e63be1d9a4,https://www.sec.gov/Archives/edgar/data/1101215/000119312519225606/d795047dsctoia.htm,2019-08-21,5,5,False,"submissions index: ['BFH', 'BFH-PA', 'BFH-PB'] on ['NYSE', 'NYSE', 'NYSE']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-19-225606,591974,d777726dsctoi.htm
"HireQuest, Inc.",0001140102,HQI,Nasdaq,listed,operating_company,2019-06-26,2019-07-25,fixed_price,6.0,,,,6.0,6.0,,5.46999979019165,2019-06-25,5.760000228881836,2019-07-26,1.0,5.47,last reported sale price of the Shares on Nasdaq was $5.47,0.09689213893967108,0.09689218101227381,0.9999999616438118,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 Shares and I tender all of my Shares, will I be subject to proration? If you own, beneficially or of record, fewer than 100 Shares in the aggregate, you properly tender all of these Shares and do not properly withdraw them before the Expiration Date, and you complete the section entitled &ldquo;Odd Lots&rdquo; in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, we will purchase all of your Shares without subjecting them to the proration procedure.","If more than 1,500,000 Shares (or such greater amount as we may elect to purchase, subject to applicable law) are properly tendered and not properly withdrawn, we will purchase Shares in the following order of priority: first, we will purchase all odd lots of less than 100 Shares from stockholders who properly tender all of their Shares and who do not properly withdraw them before the Expiration Date (tenders of less than all of the Shares owned, beneficially or of record, by such Odd Lot Holder will not qualify for this preference); 14 second, after purchasing all the odd lots that were properly t",odd-lot -> no-proration/priority: 'odd lots of less than 100 Shares from stockholders who properly tender all of their Shares and who do not properly withdraw them before the Expiration Date (tenders of less than all of the Shares owne' (<100-share threshold stated in the document),0000921895-19-001904,0000921895-19-001904,https://www.sec.gov/Archives/edgar/data/1140102/000092189519001904/exa1atoc11810005_05172019.htm,59dc2399b0e0dd9d8c11e35a9b1c4c599075ec902fdbff6134f2816de3a80c13,https://www.sec.gov/Archives/edgar/data/1140102/000092189519002070/toia311810005_07302019.htm,2019-07-30,4,4,False,submissions index: ['HQI'] on ['Nasdaq']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0000921895-19-002070,1602283,toi11810005_06262019.htm
"PharmaCyte Biotech, Inc.",0001157075,PMCB,Nasdaq,listed,operating_company,2023-05-11,2024-05-30,fixed_price,3.25,,,,3.25,3.25,,2.740000009536743,2023-05-10,1.9600000381469727,2024-05-31,1.0,2.74,last reported sale price of the Shares was $2.74,0.1861313868613137,0.18613138273290852,1.0000000034805632,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 Shares and I tender all of my Shares, will I be subject to proration? If you (i) own, beneficially or of record, fewer than 100 Shares in the aggregate; (ii) properly tender all of these Shares and do not properly withdraw them before the Expiration Date; and (iii) complete the section(s) entitled &ldquo;Odd Lots&rdquo; in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, we will purchase all of your Shares without subjecting them to the proration procedure.","We may not purchase all of the Shares properly tendered because of proration, &ldquo;Odd Lot&rdquo; priority and conditional tender provisions described in this Offer to Purchase.",odd-lot -> no-proration/priority: 'Odd Lot&rdquo; priority' (<100-share threshold stated in the document),0001683168-23-003170,0001683168-23-003170,https://www.sec.gov/Archives/edgar/data/1157075/000168316823003170/pharmacyte_exa1a.htm,7de5e5e513b56f265c7d521582c2448755864f0937a8cb30e5b046367fe05e90,https://www.sec.gov/Archives/edgar/data/1157075/000168316823004178/pharmacyte_toia1.htm,2023-06-15,4,2,False,submissions index: ['PMCB'] on ['Nasdaq']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001683168-23-004178,361530,pharmacyte_toi.htm
ENCANA CORP,0001157806,,,unknown,operating_company,2019-07-08,2019-08-14,unknown,,,,,,,,,,,,,6.7,closing price on the TSX was Cdn$6.70,,,,,common_or_unspecified,yes,,yes,"For purposes of the Offer, the term Odd Lots means all Successfully Tendered Shares tendered by or on behalf of the Successful Shareholders who individually beneficially own, as of the close of business on the Expiration Date, an aggregate of fewer than 100 Shares ( Odd Lot Holders ).","Shareholders owning an aggregate of less than 100 Shares whose Shares are purchased pursuant to the Offer not only will avoid the payment of brokerage commissions, but will also avoid any odd lot discounts, each of which may be applicable on a sale of their Shares in a transaction on the TSX or the NYSE.","no-proration/priority -> odd-lot: 'preference, an Odd Lot' (<100-share threshold stated in the document)",0001193125-19-190119,0001193125-19-190119,https://www.sec.gov/Archives/edgar/data/1157806/000119312519190119/d755964dex99a1a.htm,784ab26630a97547d5900f37d09228110eb564bd6f6153ee92b729eea90406c6,https://www.sec.gov/Archives/edgar/data/1157806/000119312519237197/d784239dsctoia.htm,2019-09-04,8,5,False,"no ticker in submissions index, no non-traded language matched",not exchange-listed / no ticker in the submissions index,0001193125-19-237197,529622,d755964dsctoi.htm
HERBALIFE LTD.,0001180262,HLF,NYSE,listed,operating_company,2020-07-13,2020-08-11,dutch_auction,,44.75,50.0,,48.75,48.75,,45.63999938964844,2020-07-10,48.15999984741211,2020-08-12,1.0,45.64,closing price of the shares on the NYSE was $45.64,0.06814198071866784,0.06814199500311435,0.9999999866268282,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,"proration factor, the final proration factor for the tender offer was approximately 41",yes,"If our purchase of all shares properly tendered at or below the Cash Purchase Price and not properly withdrawn in the Offer would result in aggregate Cash Purchase Price of more than $750 million, we will purchase all shares properly tendered at or below the Cash Purchase Price on a pro rata basis, except for odd lots (lots held by owners of less than 100 shares at the Expiration Time), which we will purchase on a priority basis, and except for each conditional tender whose condition was not met, which we will not purchase.","If our purchase of all shares properly tendered at or below the Cash Purchase Price and not properly withdrawn in the Offer would result in an aggregate Cash Purchase Price of more than $750 million, we will purchase all shares properly tendered at or below the Cash Purchase Price on a pro rata basis, except for odd lots (lots held by owners of less than 100 shares at the Expiration Time), which we will purchase on a priority basis, and except for each conditional tender whose condition was not met, which we will not purchase.","odd-lot -> no-proration/priority: 'odd lots (lots held by owners of less than 100 shares at the Expiration Time), which we will purchase on a priority basis' (<100-share threshold stated in the document)",0001193125-20-191599,0001193125-20-191599,https://www.sec.gov/Archives/edgar/data/1180262/000119312520191599/d938909dex99a1a.htm,91c67f4001b008c8c094c269fa2875b192ca5f975817c93e16aff20891ad6ef0,https://www.sec.gov/Archives/edgar/data/1180262/000119312520221902/d65987dsctoia.htm,2020-08-17,7,4,False,submissions index: ['HLF'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-20-221902,314060,d938909dsctoi.htm
"Star Equity Holdings, Inc.",0001210708,"STRR,STRRP","Nasdaq,Nasdaq",listed,operating_company,2019-02-22,2019-03-22,fixed_price,1.5,,,,1.5,1.5,,1.4500000000000002,2019-02-21,1.5100000381469727,2019-03-25,0.1,1.45,last reported sale price of the Shares on Nasdaq was $1.45,0.034482758620689724,0.0344827586206895,1.0000000000000002,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 Shares and I tender all of my Shares, will I be subject to proration? If you own, beneficially or of record, fewer than 100 Shares in the aggregate, you properly tender all of these Shares at the Purchase Price and do not properly withdraw them before the Expiration Date, and you complete the section entitled &ldquo;Odd Lots&rdquo; in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, we will purchase all of your Shares without subjecting them to the proration procedure.","If more than 3,150,000 Shares (or such greater amount as we may elect to purchase, subject to applicable law) are properly tendered at the Purchase Price and not properly withdrawn, we will purchase Shares at the Purchase Price in the following order of priority: first, we will purchase all odd lots of less than 100 Shares from stockholders who properly tender all of their Shares at the Purchase Price and who do not properly withdraw them before the Expiration Date (tenders of less than all of the Shares owned, beneficially or of record, by such Odd Lot Holder will not qualify for this preference); second, after purchasing all the odd lots t",odd-lot -> no-proration/priority: 'odd lots of less than 100 Shares from stockholders who properly tender all of their Shares at the Purchase Price and who do not properly withdraw them before the Expiration Date (tenders of less than ' (<100-share threshold stated in the document),0000921895-19-000565,0000921895-19-000565,https://www.sec.gov/Archives/edgar/data/1210708/000092189519000565/exa1atoi11776010_02222019.htm,7a58c9ad4fccfd236221d8371d27506dd6054994b142e63ed3f3e18e892fb539,https://www.sec.gov/Archives/edgar/data/1210708/000092189519000909/toia311776010_03272019.htm,2019-03-28,4,4,False,"submissions index: ['STRR', 'STRRP'] on ['Nasdaq', 'Nasdaq']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0000921895-19-000909,314734,toi11776010_02222019.htm
MARCHEX INC,0001224133,MCHX,Nasdaq,listed,operating_company,2020-08-31,2020-10-07,fixed_price,1.8,,,,2.15,2.15,,1.8200000524520874,2020-08-28,2.140000104904175,2020-10-08,1.0,1.73,closing price of the shares on the NASDAQ was $1.73,0.24277456647398843,0.18131864727328084,1.052023151706409,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If more than 10,000,000 shares are properly tendered, we will purchase all shares properly tendered on a pro rata basis, except for odd lots (lots held by owners of less than 100 shares), which we will purchase on a priority basis, and except for each conditional tender whose condition was not met, which we will not purchase.","If more than 10,000,000 shares are properly tendered, we will purchase all shares properly tendered on a pro rata basis, except for odd lots (lots held by owners of less than 100 shares), 20 Table of Contents which we will purchase on a priority basis, and except for each conditional tender whose condition was not met, which we will not purchase.","odd-lot -> no-proration/priority: 'odd lots (lots held by owners of less than 100 shares), which we will purchase on a priority basis' (<100-share threshold stated in the document)",0001193125-20-236251,0001193125-20-236251,https://www.sec.gov/Archives/edgar/data/1224133/000119312520236251/d97382dex99a1a.htm,bece1f763d4c905dfcf0003d3f060f437fc9e11bcc4e3a43dc37c89b541ba0cc,https://www.sec.gov/Archives/edgar/data/1224133/000119312520266318/d14775dsctoia.htm,2020-10-08,4,3,False,submissions index: ['MCHX'] on ['Nasdaq']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-20-266318,310872,d97382dsctoi.htm
"BlackRock Municipal Credit Alpha Portfolio, Inc.",0001232860,,,unknown,closed_end_or_interval_fund,2024-10-15,,nav_based,,,,,,,,,,,,,,,,,,,common_or_unspecified,yes,,mentioned_no_priority_language,(e) The Tender Offer shall require odd lot tenders to be subject to the same proration terms as tenders of 100 shares or more.,,"phrase present, no grant and no denial matched",0001193125-24-237639,0001193125-24-237639,https://www.sec.gov/Archives/edgar/data/1232860/000119312524237639/d787913dex99d4.htm,ed5dfb3c0b90f660531213f3903c599eceacbb1d0fbec7ec928e292dbfd58725,https://www.sec.gov/Archives/edgar/data/1232860/000119312524261136/d828457dsctoia.htm,2024-11-19,1,5,False,"no ticker in submissions index, no non-traded language matched",not exchange-listed / no ticker in the submissions index,0001193125-24-261136,69874,d787913dsctoi.htm
WESTERN ASSET INFLATION-LINKED INCOME FUND,0001254370,WIA,NYSE,listed,closed_end_or_interval_fund,2020-11-25,2020-12-28,nav_based,,,,99.0,,,,13.170000076293945,2020-11-24,13.029999732971191,2020-12-29,1.0,12.36,closing price as of the close of the regular trading session of the NYSE was $12.36,,,1.0655339867551736,,common_or_unspecified,yes,,mentioned_no_priority_language,"If more Shares than the Offer Amount are properly tendered and not withdrawn prior to the Expiration Date, the Fund will purchase the Offer Amount on a pro rata basis, including for odd lot tenders.",,"phrase present, no grant and no denial matched",0001193125-20-303513,0001193125-20-303513,https://www.sec.gov/Archives/edgar/data/1254370/000119312520303513/d31180dex99a1i.htm,daac4a6e9977a1d22126ca98e5c4c146c946d97d85616bfa94c6696b223ec84f,https://www.sec.gov/Archives/edgar/data/1254370/000119312520330324/d55259dsctoia.htm,2020-12-31,2,3,False,submissions index: ['WIA'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-20-330324,215386,d31180dsctoi.htm
Eaton Vance Senior Floating-Rate Trust,0001258623,EFR,NYSE,listed,closed_end_or_interval_fund,2021-06-29,,nav_based,,,,,,,,14.149999618530273,2021-06-28,13.960000038146973,2021-07-30,1.0,,,,,,,common_or_unspecified,yes,,mentioned_no_priority_language,(c) The Tender Offer shall require odd lot tenders to be subject to the same proration terms as tenders of 100 shares or more.,,"phrase present, no grant and no denial matched",0000350797-21-000082,0000350797-21-000082,https://www.sec.gov/Archives/edgar/data/1258623/000035079721000082/exhibitdi_ex99zdi.htm,fee85e9fed74c9e8c9ad0decb7b2a1c98afe3bdce8aaa44d27f0552d3fa8534c,https://www.sec.gov/Archives/edgar/data/1258623/000094039421001126/efrsctoia.htm,2021-08-03,1,3,False,submissions index: ['EFR'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0000940394-21-001126,138777,efrsctoi.htm
"Virtus Dividend, Interest & Premium Strategy Fund",0001260563,NFJ,NYSE,listed,closed_end_or_interval_fund,2026-09-01,,nav_based,,,,99.0,,,,15.569999694824219,2026-08-31,,,1.0,,,,,,,common_or_unspecified,yes,,no_explicitly_denied,"This tender offer will not have any special pro ration provision for odd-lot tenders, which means that all odd-lot tenders (including Shareholders who own fewer than 100 Shares) are subject to proration.",,document denies it: 'not have any special pro ration provision for odd-lot',0001193125-26-377910,0001193125-26-377910,https://www.sec.gov/Archives/edgar/data/1260563/000119312526377910/d68073dex99a1i.htm,d8caa9fa6218acb424deef7bd2327748824c2b4a18578ae7ee0eb5e518a4fd38,https://www.sec.gov/Archives/edgar/data/1260563/000119312526381206/d119917dsctoia.htm,2026-09-03,3,2,False,submissions index: ['NFJ'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-26-381206,146244,d68073dsctoi.htm
Hilltop Holdings Inc.,0001265131,HTH,NYSE,listed,operating_company,2020-09-23,2020-10-30,dutch_auction,,18.25,21.0,,18.25,18.25,,18.190000534057617,2020-09-22,23.010000228881836,2020-11-02,1.0,18.19,last reported sale price of the shares on the NYSE was $18.19,0.0032985156679492533,0.003298486211149143,1.000000029359957,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 shares and I tender all of my shares, will I be subject to proration? If you own, beneficially or of record, fewer than an aggregate of 100 shares, you properly tender all of such shares at or below the Purchase Price prior to the Expiration Date (and do not properly withdraw such shares) and you complete the section entitled &ldquo;Odd Lots&rdquo; in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, and all conditions to the tender offer are satisfied or waived, we will purchase all of your shares without subjecting them to proration.","If the conditions to the tender offer have been satisfied or waived and shares having an aggregate purchase price in excess of $350,000,000, measured at the maximum price at which such shares were properly tendered, have been properly tendered and not properly withdrawn prior to the Expiration Date, we will buy shares in the following order of priority: &middot; first, from all holders of &ldquo;odd lots&rdquo; (holders of fewer than 100 shares) who properly tender all their shares at or below the Purchase Price and do not properly withdraw them before the Expiration Date; &middot; second, on a pro rata basis, with appropriate adjustment to avoid purchases of fractional shares, from all other stockholders who properly tender shares at or below th",odd-lot -> no-proration/priority: 'odd lot&rdquo; priority' (<100-share threshold stated in the document),0001104659-20-107535,0001104659-20-107535,https://www.sec.gov/Archives/edgar/data/1265131/000110465920107535/tm2031463d1_exa1i.htm,d28bdeafc0f963b6bcb77b898ac13c561bbc48a532c09369d1b6953e9aa9718c,https://www.sec.gov/Archives/edgar/data/1265131/000110465920126591/tm2031463d15_sctoia.htm,2020-11-18,8,5,False,submissions index: ['HTH'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001104659-20-126591,510551,tm2031463d1_sctoi.htm
Hilltop Holdings Inc.,0001265131,HTH,NYSE,listed,operating_company,2022-05-02,2022-05-27,dutch_auction,,28.0,32.0,,,30.0,range_midpoint,25.489999771118164,2022-04-29,30.010000228881836,2022-05-31,1.0,25.49,last reported sale price of the shares on the NYSE was $25.49,0.17693213024715582,0.1769321408151585,0.9999999910207205,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 shares and I tender all of my shares, will I be subject to proration? If you own, beneficially or of record, fewer than an aggregate of 100 shares, you properly tender all of such shares at or below the Purchase Price prior to the Expiration Date (and do not properly withdraw such shares) and you complete the section entitled ""Odd Lots"" in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, and all conditions to the tender offer are satisfied or waived, we will purchase all of your shares without subjecting them to proration.","If the conditions to the tender offer have been satisfied or waived and shares having an aggregate purchase price in excess of $400,000,000, measured at the maximum price at which such shares were properly tendered, have been properly tendered and not properly withdrawn prior to the Expiration Date, we will buy shares in the following order of priority: first, from all holders of ""odd lots"" (holders of fewer than 100 shares) who properly tender all their shares at or below the Purchase Price and do not properly withdraw them before the Expiration Date; second, on a pro rata basis, with appropriate adjustment to avoid purchases of fractional shares, from all other stockholders who properly tender shares at or below the Purchase Pric","odd-lot -> no-proration/priority: 'odd lot"" priority' (<100-share threshold stated in the document)",0001104659-22-053972,0001104659-22-053972,https://www.sec.gov/Archives/edgar/data/1265131/000110465922053972/tm2213904d1_ex99-a1i.htm,a7d63f1646b98eeb0be52b6b1a92be3b32a26f4afcff73b0702e493544532a8c,https://www.sec.gov/Archives/edgar/data/1265131/000110465922067305/tm2213904d5_sctoi.htm,2022-06-02,4,3,False,submissions index: ['HTH'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001104659-22-067305,586724,tm2213904-1_sctoi.htm
"BIMINI CAPITAL MANAGEMENT, INC.",0001275477,BMNM,OTC,listed,operating_company,2019-05-29,2018-11-15,dutch_auction,,2.0,2.2,,,2.1,range_midpoint,1.5299999713897705,2019-05-28,1.899999976158142,2019-07-01,1.0,1.53,last reported sale price of the Class A Common Stock was $1.53,0.37254901960784315,0.37254904527381916,0.9999999813005036,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"5 TABLE OF CONTENTS Because of the odd lot priority, proration and conditional tender provisions described above, it is possible that we will not purchase all of the shares of Class A Common Stock that you tender even if you tender them at or below the Final Purchase Price.","However, because of the odd lot priority, proration and conditional tender provisions of the Offer, we may not purchase all of the shares of Class A Common Stock tendered at or below the Final Purchase Price if shares of Class A Common Stock representing more than $2.2 million (or such greater amount as we may elect to pay, subject to applicable law) are properly tendered and not properly withdrawn.",odd-lot -> no-proration/priority: 'odd lot priority' (<100-share threshold stated in the document),0001140361-19-009976,0001140361-19-009976,https://www.sec.gov/Archives/edgar/data/1275477/000114036119009976/nt10002251x1_exa1a.htm,4263d12b7cd5cb1023aa5d447635d98270840d8ebead4b0c349469031863ef45,https://www.sec.gov/Archives/edgar/data/1275477/000114036119012535/formsctoia.htm,2019-07-08,6,4,False,submissions index: ['BMNM'] on ['OTC']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001140361-19-012535,515096,nt10002251x1_sctoi.htm
"BIMINI CAPITAL MANAGEMENT, INC.",0001275477,BMNM,OTC,listed,operating_company,2021-05-27,2021-11-15,dutch_auction,,1.5,2.0,,,1.75,range_midpoint,1.3799999952316284,2021-05-26,2.3399999141693115,2021-11-16,1.0,1.38,last reported sale price of the Class A Common Stock was $1.38,0.2681159420289856,0.2681159464107594,0.9999999965446583,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"Because of the ""odd lot"" priority, proration and conditional tender provisions described above, it is possible that we will not purchase all of the shares of Class A Common Stock that you tender even if you tender them at or below the Final Purchase Price.","However, because of the odd lot priority, proration and conditional tender provisions of the Offer, we may not purchase all of the shares of Class A Common Stock tendered at or below the Final Purchase Price if shares of Class A Common Stock representing more than $2.2 million (or such greater amount as we may elect to pay, subject to applicable law) are properly tendered and not properly withdrawn.","odd-lot -> no-proration/priority: 'odd lot"" priority' (<100-share threshold stated in the document)",0001104659-21-073232,0001104659-21-073232,https://www.sec.gov/Archives/edgar/data/1275477/000110465921073232/tm2117605d1_exha1a.htm,066fea9e7de2dafbfa3fe26012cef23c2c771550c80d9176ad6d84de7967be78,https://www.sec.gov/Archives/edgar/data/1275477/000110465921090213/tm2121658d1_sctoia.htm,2021-07-08,8,4,False,submissions index: ['BMNM'] on ['OTC']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001104659-21-090213,463711,tm2117605-1_sctoi.htm
