universe: 1088 tickers
padded_start=2018-11-27 end=2026-08-27
$HPR: possibly delisted; no timezone found
$VRE: possibly delisted; no timezone found
$BHLB: possibly delisted; no timezone found
$PEI: possibly delisted; no timezone found
$MANT: possibly delisted; no timezone found
$CTB: possibly delisted; no timezone found
$HI: possibly delisted; no timezone found
$GCI: possibly delisted; no timezone found
$AEGN: possibly delisted; no timezone found
$HSKA: possibly delisted; no timezone found
$NARI: possibly delisted; no timezone found
$SJI: possibly delisted; no timezone found
$LDL: possibly delisted; no timezone found
$AVID: possibly delisted; no timezone found
$DPLO: possibly delisted; no timezone found
$PPBI: possibly delisted; no timezone found
$MDC: possibly delisted; no timezone found
$CNSL: possibly delisted; no timezone found
$VGR: possibly delisted; no timezone found
$AMWD: possibly delisted; no timezone found
$HA: possibly delisted; no timezone found
$STAR: possibly delisted; no timezone found
$FBC: possibly delisted; no timezone found
$AAWW: possibly delisted; no timezone found
$SNBR: possibly delisted; no timezone found
$CKH: possibly delisted; no timezone found
$CSGS: possibly delisted; no timezone found
$CARA: possibly delisted; no timezone found
$GCP: possibly delisted; no timezone found
$LTHM: possibly delisted; no timezone found
$AXE: possibly delisted; no timezone found
$RPAI: possibly delisted; no timezone found
$SWN: possibly delisted; no timezone found
$APLS: possibly delisted; no timezone found
$NXGN: possibly delisted; no timezone found
$FARO: possibly delisted; no timezone found
$MNTA: possibly delisted; no timezone found
$PDCO: possibly delisted; no timezone found
$HOUS: possibly delisted; no timezone found
$SWI: possibly delisted; no timezone found
$ACOR: possibly delisted; no timezone found
$MDP: possibly delisted; no timezone found
$GEAR: possibly delisted; no timezone found
$CPSI: possibly delisted; no timezone found
$CVGW: possibly delisted; no timezone found
$SATS: No data found, symbol may be delisted
$JBT: possibly delisted; no timezone found
$CADE: possibly delisted; no timezone found
$WSR: possibly delisted; no timezone found
$FBM: possibly delisted; no timezone found
$CLI: possibly delisted; no timezone found
$TWNK: possibly delisted; no timezone found
$HBI: possibly delisted; no timezone found
$ODP: possibly delisted; no timezone found
$MIK: possibly delisted; no timezone found
$PACW: possibly delisted; no timezone found
$BGG: possibly delisted; no timezone found
$HSII: possibly delisted; no timezone found
$MDR: possibly delisted; no timezone found
$GWB: possibly delisted; no timezone found
$THS: possibly delisted; no timezone found
$OMI: possibly delisted; no timezone found
$LHCG: possibly delisted; no timezone found
$MPW: possibly delisted; no timezone found
$ARNC: possibly delisted; no timezone found
$AMEH: possibly delisted; no timezone found
$WIRE: possibly delisted; no timezone found
$POLY: possibly delisted; no timezone found
$TUP: possibly delisted; no timezone found
$VRTV: possibly delisted; no timezone found
$TRHC: possibly delisted; no timezone found
$ZEUS: possibly delisted; no timezone found
$SIX: possibly delisted; no timezone found
$TPH: possibly delisted; no timezone found
$HMSY: possibly delisted; no timezone found
$OPB: possibly delisted; no timezone found
$CDMO: possibly delisted; no timezone found
$EXTN: possibly delisted; no timezone found
$ROIC: possibly delisted; no timezone found
$SCVL: possibly delisted; no timezone found
$HNGR: possibly delisted; no timezone found
$CSII: possibly delisted; no timezone found
$ITOS: possibly delisted; no timezone found
$KAR: possibly delisted; no timezone found
$CVET: possibly delisted; no timezone found
$CRCM: possibly delisted; no timezone found
$JCP: possibly delisted; no timezone found
$SEM: possibly delisted; no timezone found
$CMA: possibly delisted; no timezone found
$FL: possibly delisted; no timezone found
$SPPI: possibly delisted; no timezone found
$KAMN: possibly delisted; no timezone found
$ELY: possibly delisted; no timezone found
$EPAY: possibly delisted; no timezone found
$TLRD: possibly delisted; no timezone found
$NTUS: possibly delisted; no timezone found
$ISBC: possibly delisted; no timezone found
$BPFH: possibly delisted; no timezone found
$MODV: possibly delisted; no timezone found
$AKRX: possibly delisted; no timezone found
$LYLT: possibly delisted; no timezone found
$TIVO: possibly delisted; no timezone found
$TGNA: possibly delisted; no timezone found
$FRGI: possibly delisted; no timezone found
$PDCE: possibly delisted; no timezone found
$SRDX: possibly delisted; no timezone found
$NR: possibly delisted; no timezone found
$CHUY: possibly delisted; no timezone found
$ATGE: possibly delisted; no timezone found
$MTOR: possibly delisted; no timezone found
$ROCC: possibly delisted; no timezone found
$ALEX: possibly delisted; no timezone found
$RAVN: possibly delisted; no timezone found

214 Failed downloads:
['HPR', 'UFS', 'ALSK', 'CMO', 'QEP', 'AAN', 'AMAG', 'VRTU', 'LCI', 'WLH', 'UIHC', 'USCR', 'PRFT', 'MCW', 'CWEN-A', 'DSPG', 'GMS', 'GDEN', 'HMST', 'EGOV', 'IAC', 'SPTN', 'IVC', 'MGLN', 'ECOL', 'NVEE', 'CIVI', 'HIBB', 'HT', 'BIG', 'AL', 'AJRD', 'EXPI', 'STMP', 'KLG', 'AVTA', 'COOP', 'IRBT', 'KW', 'UBA', 'CUTR', 'FMBI', 'GLT', 'VTLE', 'DO', 'TGI', 'MTSC', 'RRD', 'VBTX', 'OAS', 'CDR', 'HAYN', 'FOE', 'FSB', 'EBIX', 'BRKS', 'SYKE', 'AGTI', 'AMBC', 'RUTH', 'REGI', 'NYMT', 'CONN', 'CPE', 'CATM', 'CORE', 'SNCY', 'WDR', 'CBB', 'GES', 'SJW', 'TVTY', 'IBTX', 'SEE', 'SLCA', 'WPG', 'KRA', 'LL', 'DVAX', 'CHS', 'EXPR', 'ASGN', 'VSCO', 'MODG', 'PGTI', 'BSIG', 'ZYXI', 'NEX', 'AEL', 'ARCH', 'DRQ', 'ENV', 'ABTX', 'SGH', 'ENDP', 'GLUU', 'GHL', 'RCM', 'ZIMV', 'TSE', 'NUVA', 'DISH', 'VRE', 'BHLB', 'PEI', 'MANT', 'CTB', 'HI', 'GCI', 'AEGN', 'HSKA', 'NARI', 'SJI', 'LDL', 'AVID', 'DPLO', 'PPBI', 'MDC', 'CNSL', 'VGR', 'AMWD', 'HA', 'STAR', 'FBC', 'AAWW', 'SNBR', 'CKH', 'CSGS', 'CARA', 'GCP', 'LTHM', 'AXE', 'RPAI', 'SWN', 'APLS', 'NXGN', 'FARO', 'MNTA', 'PDCO', 'HOUS', 'SWI', 'ACOR', 'MDP', 'GEAR', 'CPSI', 'CVGW', 'JBT', 'CADE', 'WSR', 'FBM', 'CLI', 'TWNK', 'HBI', 'ODP', 'MIK', 'PACW', 'BGG', 'HSII', 'MDR', 'GWB', 'THS', 'OMI', 'LHCG', 'MPW', 'ARNC', 'AMEH', 'WIRE', 'POLY', 'TUP', 'VRTV', 'TRHC', 'ZEUS', 'SIX', 'TPH', 'HMSY', 'OPB', 'CDMO', 'EXTN', 'ROIC', 'SCVL', 'HNGR', 'CSII', 'ITOS', 'KAR', 'CVET', 'CRCM', 'JCP', 'SEM', 'CMA', 'FL', 'SPPI', 'KAMN', 'ELY', 'EPAY', 'TLRD', 'NTUS', 'ISBC', 'BPFH', 'MODV', 'AKRX', 'LYLT', 'TIVO', 'TGNA', 'FRGI', 'PDCE', 'SRDX', 'NR', 'CHUY', 'ATGE', 'MTOR', 'ROCC', 'ALEX', 'RAVN']: possibly delisted; no timezone found
['SATS']: No data found, symbol may be delisted
price: (1946, 874) missing=214
after recycled mask: (1946, 849) dropped=25 truncated=0
recycled: ['BBBY', 'BEAT', 'BLD', 'BRKL', 'CAMP', 'CBL', 'CCRN', 'CIR', 'CUB', 'EE', 'EHAB', 'FDP', 'FLOW', 'GTLS', 'LMNX', 'NFBK', 'NP', 'NSA', 'OPI', 'PINC', 'PRA', 'VAL', 'VG', 'WOLF', 'WW']
mcap basis: (1946, 849) splits=93 missing=0
shares: 849 resolved, 0 missing
saved -> /private/tmp/claude-501/-Users-choonhakunjaroonwatthana-Desktop-aladdin2/be436747-4a23-4713-9fbf-e7e19fc0ad51/scratchpad/sc600_fetch.pkl
