Starting Round C (magnitude-weighted) screening: 2015-01-07 -> 2026-08-26
$BRCM: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$NLSN: possibly delisted; no timezone found
$HES: possibly delisted; no timezone found
$MXIM: possibly delisted; no timezone found
$RE: possibly delisted; no timezone found
$XEC: possibly delisted; no timezone found
$TGNA: possibly delisted; no timezone found
$TMK: possibly delisted; no timezone found
$JEC: possibly delisted; no timezone found
$GMCR: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$MON: possibly delisted; no timezone found
$SWY: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$GGP: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$DRE: possibly delisted; no timezone found
$ABMD: possibly delisted; no timezone found
$CTL: possibly delisted; no timezone found
$HCBK: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$CMA: possibly delisted; no timezone found
$WYND: possibly delisted; no timezone found
$ADS: possibly delisted; no timezone found
$DO: possibly delisted; no timezone found
$KRFT: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$CA: possibly delisted; no timezone found
$WBA: possibly delisted; no timezone found
$UTX: possibly delisted; no timezone found
$CELG: possibly delisted; no timezone found
$PBCT: possibly delisted; no timezone found
$TWTR: possibly delisted; no timezone found
$FRC: possibly delisted; no timezone found
$PX: possibly delisted; no timezone found
$RTN: possibly delisted; no timezone found
$MMC: possibly delisted; no timezone found
$COG: possibly delisted; no timezone found
$HCP: possibly delisted; no timezone found
$MRO: possibly delisted; no timezone found
$JNPR: possibly delisted; no timezone found
$PKI: possibly delisted; no timezone found
$CDAY: possibly delisted; no timezone found
$FDO: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$PETM: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$DAY: possibly delisted; no timezone found
$JWN: possibly delisted; no timezone found
$FL: possibly delisted; no timezone found
$HFC: possibly delisted; no timezone found
$FLIR: possibly delisted; no timezone found
$QEP: possibly delisted; no timezone found
$K: possibly delisted; no timezone found
$DTV: possibly delisted; no timezone found
$CCE: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$JOY: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$PXD: possibly delisted; no timezone found
$CXO: possibly delisted; no timezone found
$RAI: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$VAR: possibly delisted; no timezone found
$GAS: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$HRS: possibly delisted; no timezone found
$SRCL: possibly delisted; no timezone found
$COV: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$MNK: possibly delisted; no timezone found
$CTXS: possibly delisted; no timezone found
$FI: possibly delisted; no timezone found
$TSS: possibly delisted; no timezone found
$WCG: possibly delisted; no timezone found

143 Failed downloads:
['BRCM', 'SIAL', 'PCP', 'TWC', 'LLTC', 'STJ', 'SNI', 'BXLT', 'MWV', 'KORS', 'HSP', 'CPGX', 'BCR', 'WFM', 'MJN', 'LVLT', 'CFN', 'HAR', 'ARG', 'CMCSK', 'TEG', 'CVC', 'LO', 'GMCR', 'SWY', 'GGP', 'HCBK', 'KRFT', 'FDO', 'PETM', 'CCE', 'JOY', 'RAI', 'GAS', 'COV']: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
['FBHS', 'AGN', 'CHK', 'NBL', 'LLL', 'SIVB', 'ETFC', 'TIF', 'HBI', 'ALTR', 'FLT', 'XLNX', 'FTR', 'ESV', 'DISH', 'KSU', 'ARNC', 'PEAK', 'WRK', 'DISCK', 'DWDP', 'NLOK', 'RHT', 'DNR', 'WLTW', 'XL', 'ABC', 'ALXN', 'DNB', 'BHGE', 'SWN', 'DISCA', 'CTRA', 'AVP', 'ENDP', 'IPG', 'BK', 'CBS', 'VIAC', 'LM', 'ATVI', 'PLL', 'ANTM', 'CERN', 'SEE', 'DFS', 'MYL', 'AABA', 'GPS', 'WIN', 'PDCO', 'ANSS', 'SYMC', 'BLL', 'VIAB', 'HOLX', 'CTLT', 'NLSN', 'HES', 'MXIM', 'RE', 'XEC', 'TGNA', 'TMK', 'JEC', 'MON', 'DRE', 'ABMD', 'CTL', 'CMA', 'WYND', 'ADS', 'DO', 'CA', 'WBA', 'UTX', 'CELG', 'PBCT', 'TWTR', 'FRC', 'PX', 'RTN', 'MMC', 'COG', 'HCP', 'MRO', 'JNPR', 'PKI', 'CDAY', 'DAY', 'JWN', 'FL', 'HFC', 'FLIR', 'QEP', 'K', 'DTV', 'PXD', 'CXO', 'VAR', 'HRS', 'SRCL', 'MNK', 'CTXS', 'FI', 'TSS', 'WCG']: possibly delisted; no timezone found
['SATS']: No data found, symbol may be delisted
Round C (magnitude-weighted legs) — completed in 261.7s
Window: 2015-01-07 -> 2026-08-26
n_trials (family size, pre-declared): 30
Tickers requested but unresolved (no price data at all): 143
Specs that produced a usable replay: 30 / 30

pattern_id                       family                            n_form  n_days   sharpe      dsr     psr0
lps_intraday_l252_h63            overnight_intraday_tug_of_war         47    2924    0.277    0.203    0.825
cgo_ls_decile_l252_h126          disposition_capital_gains_overhang      24    2924    0.179    0.122    0.728
cgo_ls_decile_l504_h126          disposition_capital_gains_overhang      24    2924    0.151    0.104    0.695
cgo_ls_quintile_l252_h126        disposition_capital_gains_overhang      24    2924    0.137    0.096    0.679
lps_intraday_l252_h21            overnight_intraday_tug_of_war        140    2924    0.136    0.095    0.677
lps_intraday_l63_h63             overnight_intraday_tug_of_war         47    2924    0.105    0.078    0.639
cgo_ls_decile_l252_h63           disposition_capital_gains_overhang      47    2924    0.095    0.073    0.627
cgo_ls_decile_l504_h63           disposition_capital_gains_overhang      47    2924    0.066    0.060    0.589
lps_overnight_l252_h21           overnight_intraday_tug_of_war        140    2924    0.056    0.056    0.575
cgo_ls_quintile_l252_h63         disposition_capital_gains_overhang      47    2924    0.055    0.056    0.575
gh52_long_hedged_decile_h126     disposition_52wk_high                 24    2924    0.043    0.051    0.557
lps_overnight_l252_h63           overnight_intraday_tug_of_war         47    2924    0.039    0.050    0.553
lps_intraday_l21_h63             overnight_intraday_tug_of_war         47    2924    0.007    0.040    0.510
lps_intraday_l21_h21             overnight_intraday_tug_of_war        140    2924    0.001    0.038    0.502
gh52_ls_quintile_h126            disposition_52wk_high                 24    2924   -0.022    0.032    0.471
cgo_ls_decile_l252_h21           disposition_capital_gains_overhang     140    2924   -0.026    0.031    0.465
gh52_ls_decile_h126              disposition_52wk_high                 24    2924   -0.028    0.030    0.462
gh52_long_hedged_decile_h63      disposition_52wk_high                 47    2924   -0.032    0.029    0.456
cgo_ls_decile_l504_h21           disposition_capital_gains_overhang     140    2924   -0.055    0.024    0.426
lps_intraday_l63_h21             overnight_intraday_tug_of_war        140    2924   -0.055    0.024    0.425
gh52_ls_decile_h63               disposition_52wk_high                 47    2924   -0.065    0.022    0.412
gh52_ls_quintile_h63             disposition_52wk_high                 47    2924   -0.071    0.021    0.404
cgo_ls_quintile_l252_h21         disposition_capital_gains_overhang     140    2924   -0.073    0.021    0.402
gh52_ls_quintile_h21             disposition_52wk_high                140    2924   -0.259    0.004    0.187
gh52_ls_decile_h21               disposition_52wk_high                140    2924   -0.292    0.003    0.158
lps_overnight_l63_h21            overnight_intraday_tug_of_war        140    2924   -0.294    0.003    0.157
lps_overnight_l63_h63            overnight_intraday_tug_of_war         47    2924   -0.335    0.002    0.126
gh52_long_hedged_decile_h21      disposition_52wk_high                140    2924   -0.406    0.001    0.081
lps_overnight_l21_h63            overnight_intraday_tug_of_war         47    2924   -0.566    0.000    0.026
lps_overnight_l21_h21            overnight_intraday_tug_of_war        140    2924   -0.970    0.000    0.000

Report written to /private/tmp/claude-501/-Users-choonhakunjaroonwatthana-Desktop-aladdin2/be436747-4a23-4713-9fbf-e7e19fc0ad51/scratchpad/round_c_weighted_report.txt
