,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,SOLUSDT,XRPUSDT,ZECUSDT,LINKUSDT,UNIUSDT,NEARUSDT,AVAXUSDT,AAVEUSDT,FILUSDT,BCHUSDT,TRXUSDT,LTCUSDT,XLMUSDT,DOTUSDT,CRVUSDT,HBARUSDT,ICPUSDT,ETCUSDT,ATOMUSDT
BCHUSDT,0.5427541511778295,0.5506524909806669,0.2669784660062716,0.5582137880692563,0.5345702318953298,0.5343288338540187,0.5432484966892495,0.060012582033688956,0.4839879238685974,0.5593584924366986,0.46430729293017675,0.5197214948195232,0.5829979936600007,0.41595969322865983,1.0,0.4117636728324863,0.5735009510672633,0.49873043402807904,0.46852490578581574,0.27745054462428936,0.41828037547241304,0.46103120588782154,0.4741727149954532,0.43838743678891356
TRXUSDT,0.5384197729601677,0.5610150384838688,0.13858758991019154,0.5272082040881172,0.5027823226307057,0.5192689238830336,0.5364436700566023,0.08815787195804715,0.4471744102479766,0.5234827617361048,0.44980370166113975,0.4532375435103349,0.5419729995702697,0.3982605754921398,0.4117636728324863,1.0,0.5490754985503663,0.47503339339901474,0.44176890161072196,0.25994652174605926,0.4250688700805713,0.483771135721424,0.4420970217066072,0.4386381460251764
LTCUSDT,0.8657783804501215,0.8790671490940984,0.2477090798903152,0.8601555300116382,0.7961605364894981,0.821242457385029,0.8505540812654078,0.10713380453914927,0.7077338721967366,0.8268127387361823,0.7126738215032634,0.7302738959174895,0.8271296062846919,0.6361451693492499,0.5735009510672633,0.5490754985503663,1.0,0.7051010342476093,0.6814418815615949,0.4088305842011494,0.64472352156134,0.7075676806133346,0.6864873875920436,0.6671298563899173
XLMUSDT,0.7013688723396458,0.7131384571139009,0.26670118372836743,0.7080819328068212,0.6635519509618006,0.6796991638525021,0.7099292933201308,0.07905647307997393,0.597389729030614,0.6756074385240878,0.5951030668088172,0.626151037930488,0.6862014606051181,0.5149627128214443,0.49873043402807904,0.47503339339901474,0.7051010342476093,1.0,0.5684677721633226,0.3381217804811626,0.5501588870226859,0.5725082009300099,0.5823908310543219,0.5622604256906345
DOTUSDT,0.6543376116742216,0.6722418379484438,0.19955835805531025,0.6769753838258498,0.651765857327423,0.647529816383709,0.6717085695294301,0.0817489798555633,0.5690991623567612,0.6561360158631506,0.5943368552434963,0.6009058925411872,0.6600137329316151,0.5687960288304271,0.46852490578581574,0.44176890161072196,0.6814418815615949,0.5684677721633226,1.0,0.34418534320556604,0.5263150862502589,0.590124395604966,0.5801743198577559,0.5583589667230959
CRVUSDT,0.39925355388304046,0.4145421647706796,0.18543879076288372,0.417022621265808,0.3856178247091093,0.3886459889989733,0.41281835746987594,0.057478222618182334,0.3463822056508726,0.40142925040098965,0.3562315492905765,0.3754585201189928,0.3911194619729148,0.3128930811975656,0.27745054462428936,0.25994652174605926,0.4088305842011494,0.3381217804811626,0.34418534320556604,1.0,0.32150597023002014,0.35598002821355385,0.3367983610529854,0.3236350894460176
HBARUSDT,0.6395737133392394,0.6654201478705469,0.18825065426112275,0.6474479427925603,0.6004890535669585,0.6248742835839992,0.6388057316482423,0.06867049405089831,0.5404221612152897,0.6193283444383126,0.5545985493615968,0.5617287264455003,0.6168242834625319,0.490763288394816,0.41828037547241304,0.4250688700805713,0.64472352156134,0.5501588870226859,0.5263150862502589,0.32150597023002014,1.0,0.5470967596714091,0.5421353342716593,0.5522720127741427
ICPUSDT,0.6895664523531185,0.7115994421840749,0.16962140519183003,0.6955366153649252,0.6632641175149988,0.6659049784929901,0.6913054544428345,0.09171939859087631,0.5772333517548057,0.6785423282017718,0.6050239978473518,0.597465884982925,0.6827067677132802,0.5753669726940815,0.46103120588782154,0.483771135721424,0.7075676806133346,0.5725082009300099,0.590124395604966,0.35598002821355385,0.5470967596714091,1.0,0.5769391757380453,0.5698263247480373
ETCUSDT,0.6675465521071183,0.6905486415449379,0.22369394210459273,0.6887394435994092,0.6426429378070071,0.6736876955962576,0.6739946493183762,0.0853205623257712,0.5836435139428827,0.6665704201626549,0.5862271610557648,0.6100932242976769,0.658882790900277,0.5583971002634358,0.4741727149954532,0.4420970217066072,0.6864873875920436,0.5823908310543219,0.5801743198577559,0.3367983610529854,0.5421353342716593,0.5769391757380453,1.0,0.5820487055295398
ATOMUSDT,0.6517859674572123,0.6740766487876582,0.16509527760707754,0.6639030229211044,0.6159801281277487,0.6635061516762176,0.6444319622252815,0.08007764982881711,0.5455489706949325,0.6326946994197805,0.5774998937960635,0.5803823717161789,0.6312573809749656,0.5287789409387573,0.43838743678891356,0.4386381460251764,0.6671298563899173,0.5622604256906345,0.5583589667230959,0.3236350894460176,0.5522720127741427,0.5698263247480373,0.5820487055295398,1.0
